Data_ID,DL_ID,PreAmp,CPU_Ver,Latitude,,Longitude,,Depth_m,Deploy_Date,Recovery_Date,Status,Sample_Rate,Cycle_Int,Duty_Dur,Prob_Set,Data_Start_Date,Data_Start_Time,Data_End_Date,Data_End_Time,Rec_Dur
BERING03-M2,14-050423,101,NULL,56-51.620 N,,164-03.520 W,,72,4/23/2005,?,R,40,0,0,0,4/24/2005,12:00:00,9/23/2005,20:27:30,153
BERING04-M2,06-050923,117,NULL,56-51.672 N,,164-03.534 W,,70,9/23/2005,?,R,40,0,0,0,9/24/2005,1:00:00,1/17/2006,1:24:59,115
BERING04-M4,14-050925,101,NULL,57-21.648 N,,168-52.624 W,,71,9/25/2005,?,R,40,0,0,0,9/25/2005,12:00:00,1/26/2006,3:52:49,124
WAT_BMA01,29-130610,709,2.02S,31-55.575 N,,65-12.900 W,,713,6/10/2013,3/11/2014,R,200,0,0,1,6/10/2013,18:00:00,3/11/2014,19:31:35,274
WAT_BMA02,29-140312,734,2.02S,31-55.415 N,,65-12.113 W,,732,3/12/2014,12/12/2014,R,200,0,0,1,3/13/2014,0:00:00,7/21/2014,18:03:45,130.8
WAT_BM_A_03,29-141213,723,2.02U,31-55.415 N,,65-12.113 W,,732,12/16/2014,7/1/2016,R,200,0,0,0,12/17/2014,0:00:00,10/2/2015,8:56:21,289.4
BRINS01,NULL,NULL,NULL,57-55.360 N,,01-37.862 E,,104,NULL,NULL,R,NULL,NULL,NULL,0,6/13/2011,0:00:00,9/26/2011,15:45:00,105.7
BRINS02,NULL,NULL,NULL,57-55.360 N,,01-37.862 E,,104,9/9/2011,2/5/2012,R,200,0,0,0,9/1/2011,21:00:00,1/8/2012,15:38:45,130
CANARC_BS_01,79-130914,715,2.02S,74-20.447 N,,94-32.251 W,,620,9/14/2013,8/31/2014,R,200,13.333333,10,1,9/15/2013,0:00:00,7/25/2014,13:38:20,313.6
CANARC_BS_02,79-140909,738,2.02U,74-20.719 N,,94-42.209 W,,593,9/9/2014,8/28/2015,R,200,15,10,0,9/9/2014,13:00:00,8/31/2015,4:53:45,355.7
CANARC_BS_03,109-150912,694,2.84,74-20.722 N,,94-40.372 W,,590,9/12/2015,8/30/2017,R,200,0,0,1,9/12/2015,3:30:00,7/13/2016,14:37:36,305.5
CANARC_PI_01,105-160528,720,2.84,72-43.460 N,,76-13.990 W,,800,5/28/2016,10/5/2016,R,200,0,0,1,5/28/2016,10:00:00,10/5/2016,4:41:21,130
CANARC_PI_02,105-161005,720,2.85,72-43.498 N,,76-13.850 W,,670,10/5/2015,8/13/2017,R,200,0,0,1,10/5/2016,22:00:00,8/4/2017,9:30:06,302.5
CANARC_PI_03,105-170814,720,NULL,72-43.490 N,,76-13.790 W,,670,8/14/2017,9/27/2018,R,200,20,15,1,8/14/2017,23:59:59,1/30/2018,5:08:43,168.2
CCE1_SB_01,107-161008,818,2.85,33-28.970 N,,122-34.560 W,,812,10/8/2016,11/3/2017,R,200,0,0,1,10/10/2016,0:00:00,11/8/2017,22:26:21,394.9
SOCAL-CINMSB01,13-080214,427,1.17,34-16.520 N,,120-01.505 W,,580,2/14/2008,4/16/2008,R,200,0,0,1,2/14/2008,20:00:00,4/9/2008,2:20:00,56
SOCAL-CINMSC01,25-080212,429,1.17B,34-19.123 N,,120-47.954 W,,749,2/12/2008,4/17/2008,R,200,0,0,0,2/13/2008,0:00:00,4/3/2008,21:00:00,51
SOCAL-CINMSB02,02-080416,451,1.17B,34-16.584 N,,120-01.512 W,,610,4/16/2008,6/6/2008,R,200,7,5,0,4/17/2008,0:00:00,6/6/2008,5:48:45,51
SOCAL-CINMSC02,25-080417,452,1.17B,34-19.074 N,,120-48.212 W,,750,4/17/2008,7/23/2008,R,200,7,5,1,4/18/2008,0:00:00,7/24/2008,1:33:30,99
SOCAL-CINMSB03,21-080722,472,1.17B,34-16.621 N,,120-01.661 W,,580,7/22/2008,10/13/2008,R,200,7,5,0,7/23/2008,0:00:00,10/1/2008,23:58:45,71
SOCAL-CINMSC03,13-080723,478,1.17B,34-19.094 N,,120-48.282 W,,750,7/23/2008,10/14/2008,R,200,7,5,1,7/24/2008,0:00:00,10/2/2008,5:26:30,71
SOCAL-CINMSJ03,25-080724,471,1.17B,34-08.405 N,,119-59.316 W,,238,7/24/2008,10/14/2008,R,200,7,5,1,7/24/2008,19:00:00,9/29/2008,9:46:17,68
SOCAL-CINMSK03,02-080724,413,1.17B,33-50.207 N,,120-07.270 W,,305,7/24/2008,10/14/2008,R,200,7,5,0,7/24/2008,4:00:00,10/8/2008,3:12:45,77
SOCAL-CINMSB04,25-081015,471,1.17B,34-16.617 N,,120-01.492 W,,576,10/15/2008,12/2/2008,R,200,0,0,1,10/16/2008,0:00:00,12/3/2008,1:10:23,49
SOCAL-CINMSC04,21-081014,472,1.17B,34-19.110 N,,120-48.333 W,,700,10/14/2008,12/3/2008,R,200,0,0,0,10/15/2008,0:00:00,12/4/2008,1:02:30,51
SOCAL-CINMSJ04,13-081015,478,1.17B,34-08.489 N,,119-59.424 W,,400,10/15/2008,11/25/2008,R,50,0,0,1,10/15/2008,0:00:00,11/25/2008,12:20:46,41
SOCAL-CINMSK04,02-081015,413,1.17B,33-50.200 N,,120-07.275 W,,300,10/15/2008,12/2/2008,R,200,0,0,1,10/16/2008,0:00:00,12/3/2008,0:13:45,49
SOCAL-CINMSB05,21-081204,472,1.17B,34-16.528 N,,120-01.132 W,,580,12/4/2008,3/12/2009,R,200,10,5,0,12/4/2008,20:00:00,2/21/2009,11:14:28,80
SOCAL-CINMSC05,02-081203,413,1.17B,34-18.902 N,,120-48.370 W,,700,12/3/2008,3/11/2009,R,200,10,5,0,12/3/2008,0:00:00,2/28/2009,4:25:00,88
SOCAL-CINMSK205,25-081203,471,1.17B,33-59.956 N,,120-32.431 W,,556,12/3/2008,3/10/2009,R,200,10,5,1,12/3/2008,0:00:00,2/24/2009,5:55:00,84
SOCAL-CINMSB06,25-090512,412,1.17B,34-16.667 N,,120-01.613 W,,580,5/12/2009,7/29/2009,R,200,0,0,1,5/13/2009,0:00:00,7/6/2009,6:17:30,54
SOCAL-CINMSJ07,26-090528,499,2.01X,34-08.365 N,,119-59.346 W,,250,5/28/2009,7/30/2009,R,200,0,0,0,5/29/2009,0:00:00,7/22/2009,6:18:45,55
SOCAL-CINMSK307,30-090528,498,2.01X,33-54.722 N,,119-33.793 W,,1000,5/29/2009,7/29/2009,R,200,0,0,0,5/29/2009,0:00:00,7/22/2009,6:18:45,55
SOCAL-CINMSB08,25-090512,412,1.17B,34-16.634 N,,120-01.506 W,,580,7/30/2009,9/1/2009,R,50,0,0,1,7/30/2009,0:00:00,9/1/2009,23:09:13,33
SOCAL-CINMSJ08,26-090528,499,2.01,34-08.403 N,,119-59.086 W,,250,7/31/2009,9/1/2009,R,200,0,0,0,8/1/2009,0:00:00,9/1/2009,22:42:00,30
SOCAL-CINMSK308,30-090528,498,2.01,33-54.776 N,,119-33.810 W,,1000,7/31/2009,9/1/2009,R,200,0,0,0,8/1/2009,0:00:00,9/1/2009,22:03:45,31
SOCAL-CINMSB09,25-090902,412,1.17B,34-16.732 N,,120-01.664 W,,580,9/2/2009,11/2/2009,R,200,0,0,0,9/3/2009,0:00:00,10/27/2009,6:17:30,54
SOCAL-CINMSC09,30-090902,498,2.01,34-18.906 N,,120-48.385 W,,799,9/2/2009,11/3/2009,R,200,0,0,1,9/3/2009,0:00:00,10/27/2009,6:17:30,54
SOCAL-CINMSJ09,26-090902,499,2.01,34-08.381 N,,119-59.507 W,,242,9/2/2009,11/2/2009,R,200,0,0,1,9/3/2009,0:00:00,10/23/2009,20:51:15,50
SOCAL-CINMSB10,30-091103,580,2.01A,34-16.720 N,,120-01.614 W,,580,11/3/2009,3/1/2010,R,200,10,5,0,11/3/2009,22:50:00,2/20/2010,11:11:15,109
SOCAL-CINMSC10,25-091103,581,2.01A,34-19.108 N,,120-48.465 W,,780,11/3/2009,3/1/2010,R,200,10,5,0,11/4/2009,0:00:00,2/20/2010,12:32:30,102
SOCAL-CINMSB12,30-100302,580,2.02Q,34-16.704 N,,120-01.620 W,,581,3/2/2010,6/23/2010,R,200,0,0,0,3/2/2010,0:00:00,6/11/2010,23:33:45,101
SOCAL-CINMSC12,25-100302,581,2.02Q,34-19.097 N,,120-48.445 W,,801,3/2/2010,6/24/2010,R,200,0,0,0,3/3/2010,0:00:00,6/13/2010,17:10:00,102
SOCAL-CINMSB13,25-102506,581,2.02Q,34-16.968 N,,120-01.684 W,,549,6/25/2010,10/8/2010,R,200,0,0,0,6/25/2010,22:00:00,9/19/2010,10:48:41,86
SOCAL-CINMSC13,30,580,2.02Q,34-19.000 N,,120-48.410 W,,915,6/24/2010,11/15/2010,R,200,0,0,0,6/24/2010,23:00:00,9/21/2010,3:43:45,89
SOCAL-CINMSB14,25-101008,581,2.02Q,34-16.985 N,,120-01.696 W,,580,10/8/2010,4/5/2011,R,200,0,0,0,10/8/2010,20:00:00,1/25/2011,4:53:45,109
SOCAL-CINMSC15,30-101115,580,2.02Q,34-18.997 N,,120-48.412 W,,850,11/15/2010,4/5/2011,R,200,0,0,0,11/16/2010,0:00:00,3/2/2011,3:30:00,107
SOCAL-CINMSB16,30-110406,580,2.02S,34-16.991 N,,120-01.697 W,,580,4/6/2011,10/24/2011,R,200,0,0,0,4/6/2011,17:00:00,7/10/2011,5:26:15,92
SOCAL-CINMSC16,25-110405,581,2.02S,34-19.007 N,,120-48.349 W,,850,4/5/2011,10/24/2011,R,200,0,0,0,4/5/2011,21:00:00,7/11/2011,23:12:36,94
SOCAL-CINMSB17,33-111024,646,2.02S,34-16.970 N,,120-01.706 W,,580,10/24/2011,3/21/2012,R,200,0,0,0,10/27/2011,0:00:00,3/19/2012,15:56:15,144
SOCAL-CINMSC17,19-111024,650,2.02S,34-19.007 N,,120-48.337 W,,825,10/24/2011,3/24/2012,R,200,0,0,0,10/27/2011,0:00:00,3/3/2012,12:28:45,128
SOCAL-CINMSB18,68-120321,618,2.02S,34-17.126 N,,120-01.632 W,,580,3/22/2012,8/1/2012,R,200,0,0,0,3/24/2012,0:00:01,7/26/2012,1:58:46,125
SOCAL-CINMSC18,77-120324,645,2.05A,34-19.500 N,,120-48.400 W,,758,3/24/2012,8/1/2012,R,320,0,0,0,3/25/2012,0:00:00,8/2/2012,17:20:57,131
SOCAL-CINMSB19,71-120802,672,2.02S,34-17.156 N,,120-01.473 W,,900,8/1/2012,NULL,R,200,0,0,0,8/2/2012,0:00:00,12/3/2012,22:16:21,124
