GofAK,CB,58.66302424,148.0451015
GofAK,PT,56.24340417,142.7572458
,QN,56.34023333,145.1855944
,AB,57.51366667,146.5008333
,CA,59.00897667,148.90422
,KO,57.33508889,150.6878222
,,,
SOCAL,A,33.25184697,118.2506545
,A2,33.22731667,118.2755229
,B,34.274958,120.0244633
,C,34.31946708,120.8053204
,CCE1,33.47808333,122.5496667
,D,33,121
,E,32.65695833,119.4771906
,G,32.92635,118.6170033
,G2,33.14117,118.8854767
,H,32.84412432,119.8441243
,J,34,119
,K,33,120
,K2,33,120
,K3,33,119
,M,33.51263095,119.2500944
,N,32.36977843,118.5645078
,P,32.89312,117.3790167
,Q,33.820175,118.6290333
,R,33.16013889,120.0092806
,S,32.484875,118.2724111
,SN,34.91499048,120.3753929
,T,32.88024792,117.5742063
,U,,
