Data_ID,DL_ID,PreAmp,CPU_Ver,Latitude,,Longitude,,Depth_m,Deploy_Date,Recovery_Date,Status,Sample_Rate,Cycle_Int,Duty_Dur,Prob_Set,Data_Start_Date,Data_Start_Time,Data_End_Date,Data_End_Time,Rec_Dur
SOCAL_CINMS_B_38,133_181127,738,2.87,34_14.903 N,,120_01.618 W,,585,11/27/2018,4/15/2019,R,200,0,0,0,11/27/2018,20:00:00,4/15/2019,21:27:14,139.1
SOCAL_CINMS_B01,13_080214,427,1.17,34_16.520 N,,120_01.505 W,,580,2/14/2008,4/16/2008,R,200,0,0,1,2/14/2008,20:00:00,4/9/2008,2:20:00,56
SOCAL_CINMS_B02,02_080416,451,1.17B,34_16.584 N,,120_01.512 W,,610,4/16/2008,6/6/2008,R,200,7,5,0,4/17/2008,0:00:00,6/6/2008,5:48:45,51
SOCAL_CINMS_B03,21_080722,472,1.17B,34_16.621 N,,120_01.661 W,,580,7/22/2008,10/13/2008,R,200,7,5,0,7/23/2008,0:00:00,10/1/2008,23:58:45,71
SOCAL_CINMS_B04,25_081015,471,1.17B,34_16.617 N,,120_01.492 W,,576,10/15/2008,12/2/2008,R,200,0,0,1,10/16/2008,0:00:00,12/3/2008,1:10:23,49
SOCAL_CINMS_B05,21_081204,472,1.17B,34_16.528 N,,120_01.132 W,,580,12/4/2008,3/12/2009,R,200,10,5,0,12/4/2008,20:00:00,2/21/2009,11:14:28,80
SOCAL_CINMS_B06,25_090512,412,1.17B,34_16.667 N,,120_01.613 W,,580,5/12/2009,7/29/2009,R,200,0,0,1,5/13/2009,0:00:00,7/6/2009,6:17:30,54
SOCAL_CINMS_B08,25_090512,412,1.17B,34_16.634 N,,120_01.506 W,,580,7/30/2009,9/1/2009,R,50,0,0,1,7/30/2009,0:00:00,9/1/2009,23:09:13,33
SOCAL_CINMS_B09,25_090902,412,1.17B,34_16.732 N,,120_01.664 W,,580,9/2/2009,11/2/2009,R,200,0,0,0,9/3/2009,0:00:00,10/27/2009,6:17:30,54
SOCAL_CINMS_B10,30_091103,580,2.01A,34_16.720 N,,120_01.614 W,,580,11/3/2009,3/1/2010,R,200,10,5,0,11/3/2009,22:50:00,2/20/2010,11:11:15,109
SOCAL_CINMS_B12,30_100302,580,2.02Q,34_16.704 N,,120_01.620 W,,581,3/2/2010,6/23/2010,R,200,0,0,0,3/2/2010,0:00:00,6/11/2010,23:33:45,101
SOCAL_CINMS_B13,25_102506,581,2.02Q,34_16.968 N,,120_01.684 W,,549,6/25/2010,10/8/2010,R,200,0,0,0,6/25/2010,22:00:00,9/19/2010,10:48:41,86
SOCAL_CINMS_B14,25_101008,581,2.02Q,34_16.985 N,,120_01.696 W,,580,10/8/2010,4/5/2011,R,200,0,0,0,10/8/2010,20:00:00,1/25/2011,4:53:45,109
SOCAL_CINMS_B16,30_110406,580,2.02S,34_16.991 N,,120_01.697 W,,580,4/6/2011,10/24/2011,R,200,0,0,0,4/6/2011,17:00:00,7/10/2011,5:26:15,92
SOCAL_CINMS_B17,33_111024,646,2.02S,34_16.970 N,,120_01.706 W,,580,10/24/2011,3/21/2012,R,200,0,0,0,10/27/2011,0:00:00,3/19/2012,15:56:15,144
SOCAL_CINMS_B18,68_120321,618,2.02S,34_17.126 N,,120_01.632 W,,580,3/22/2012,8/1/2012,R,200,0,0,0,3/24/2012,0:00:01,7/26/2012,1:58:46,125
SOCAL_CINMS_B19,71_120802,672,2.02S,34_17.156 N,,120_01.473 W,,580,8/1/2012,NULL,R,200,0,0,0,8/2/2012,0:00:00,12/3/2012,22:16:21,124
SOCAL_CINMS_B20,80_121216,695,2.02S,34_17.131 N,,120_01.636 W,,580,12/16/2012,5/2/2013,R,200,0,0,0,12/16/2012,21:00:00,5/2/2013,20:27:30,138
SOCAL_CINMS_B21,71_130502,691,2.02S,34_17.112 N,,120_01.640 W,,580,5/2/2013,9/20/2013,R,200,0,0,0,5/2/2013,22:00:00,9/20/2013,15:23:45,140
SOCAL_CINMS_B22,81_130920,725,2.02S,34_17.115 N,,120_01.639 W,,535,9/20/2013,1/8/2014,R,200,0,0,0,9/21/2013,0:00:00,1/8/2014,18:06:15,110
SOCAL_CINMS_B23,80_140108,724,2.02S,34_17.098 N,,120_01.685 W,,573,1/8/2014,4/9/2014,R,200,0,0,0,1/8/2014,20:00:00,4/9/2014,21:36:14,91
